node,dof,value
1.0,1.0,0.0
2.0,1.0,0.0
3.0,1.0,0.0
4.0,1.0,0.0
5.0,1.0,0.0
6.0,1.0,0.0
7.0,1.0,0.0
8.0,1.0,0.0
9.0,1.0,0.0
10.0,1.0,0.0
11.0,1.0,0.0
12.0,1.0,0.0
13.0,1.0,0.0
14.0,1.0,0.0
15.0,1.0,0.0
16.0,1.0,0.0
17.0,1.0,0.0
18.0,1.0,0.0
19.0,1.0,0.0
20.0,1.0,0.0
21.0,1.0,0.0
22.0,1.0,0.0
23.0,1.0,0.0
24.0,1.0,0.0
25.0,1.0,0.0
26.0,1.0,0.0
27.0,1.0,0.0
28.0,1.0,0.0
29.0,1.0,0.0
30.0,1.0,0.0
31.0,1.0,0.0
32.0,1.0,0.0
33.0,1.0,0.0
34.0,1.0,0.0
35.0,1.0,0.0
36.0,1.0,0.0
37.0,1.0,0.0
38.0,1.0,0.0
74.0,1.0,0.0
75.0,1.0,0.0
111.0,1.0,0.0
112.0,1.0,0.0
148.0,1.0,0.0
149.0,1.0,0.0
185.0,1.0,0.0
186.0,1.0,0.0
222.0,1.0,0.0
223.0,1.0,0.0
259.0,1.0,0.0
260.0,1.0,0.0
296.0,1.0,0.0
297.0,1.0,0.0
333.0,1.0,0.0
334.0,1.0,0.0
370.0,1.0,0.0
371.0,1.0,0.0
407.0,1.0,0.0
408.0,1.0,0.0
444.0,1.0,0.0
445.0,1.0,0.0
481.0,1.0,0.0
482.0,1.0,0.0
518.0,1.0,0.0
519.0,1.0,0.0
555.0,1.0,0.0
556.0,1.0,0.0
592.0,1.0,0.0
593.0,1.0,0.0
609.0,1.0,1.0
610.0,1.0,1.0
611.0,1.0,1.0
612.0,1.0,1.0
613.0,1.0,1.0
629.0,1.0,0.0
630.0,1.0,0.0
646.0,1.0,1.0
647.0,1.0,1.0
663.0,1.0,0.0
664.0,1.0,0.0
680.0,1.0,1.0
681.0,1.0,1.0
697.0,1.0,0.0
698.0,1.0,0.0
714.0,1.0,1.0
715.0,1.0,1.0
731.0,1.0,0.0
732.0,1.0,0.0
748.0,1.0,1.0
749.0,1.0,1.0
750.0,1.0,1.0
751.0,1.0,1.0
752.0,1.0,1.0
768.0,1.0,0.0
769.0,1.0,0.0
805.0,1.0,0.0
806.0,1.0,0.0
842.0,1.0,0.0
843.0,1.0,0.0
879.0,1.0,0.0
880.0,1.0,0.0
916.0,1.0,0.0
917.0,1.0,0.0
953.0,1.0,0.0
954.0,1.0,0.0
990.0,1.0,0.0
991.0,1.0,0.0
1027.0,1.0,0.0
1028.0,1.0,0.0
1064.0,1.0,0.0
1065.0,1.0,0.0
1101.0,1.0,0.0
1102.0,1.0,0.0
1138.0,1.0,0.0
1139.0,1.0,0.0
1175.0,1.0,0.0
1176.0,1.0,0.0
1212.0,1.0,0.0
1213.0,1.0,0.0
1249.0,1.0,0.0
1250.0,1.0,0.0
1286.0,1.0,0.0
1287.0,1.0,0.0
1323.0,1.0,0.0
1324.0,1.0,0.0
1325.0,1.0,0.0
1326.0,1.0,0.0
1327.0,1.0,0.0
1328.0,1.0,0.0
1329.0,1.0,0.0
1330.0,1.0,0.0
1331.0,1.0,0.0
1332.0,1.0,0.0
1333.0,1.0,0.0
1334.0,1.0,0.0
1335.0,1.0,0.0
1336.0,1.0,0.0
1337.0,1.0,0.0
1338.0,1.0,0.0
1339.0,1.0,0.0
1340.0,1.0,0.0
1341.0,1.0,0.0
1342.0,1.0,0.0
1343.0,1.0,0.0
1344.0,1.0,0.0
1345.0,1.0,0.0
1346.0,1.0,0.0
1347.0,1.0,0.0
1348.0,1.0,0.0
1349.0,1.0,0.0
1350.0,1.0,0.0
1351.0,1.0,0.0
1352.0,1.0,0.0
1353.0,1.0,0.0
1354.0,1.0,0.0
1355.0,1.0,0.0
1356.0,1.0,0.0
1357.0,1.0,0.0
1358.0,1.0,0.0
1359.0,1.0,0.0
1360.0,1.0,0.0
